ID;NOMBRE;TIPO;ACTIVOS ;APR;IAC;CAPITAL;CAPITAL_R;BUFFER;BUFFER_CONDICIONAL;APR_CONDICIONAL;IAC_CONDICIONAL
A;Banco Agrícola;Bancos;5294514.59;3871393.208;0.140816615;545156.4883;464567.185;80589.30332;408702.068;11800197.29;0.034635189
B;Cuscatlán;Bancos;3736783.461;2569135.334;0.156707494;402602.7591;308296.2401;94306.51895;394984.8523;13102455.17;0.030145866
C;Citibank NA;Bancos;247198.0178;36749.31113;1.200251821;44108.42759;4409.917336;39698.51026;449592.861;15634841.19;0.028755832
D;Banco Davivienda;Bancos;2946852.689;2142492.626;0.13516903;289598.6503;257099.1151;32499.53524;456791.8361;13529097.88;0.033763658
E;Banco Hipotecario;Bancos;1367622.869;899511.6469;0.146096177;131415.2128;107941.3976;23473.81513;465817.5562;14772078.86;0.031533649
F;Banco de Fomento Agropecuario;Bancos;431655.3403;327512.0788;0.125307993;41039.88141;39301.44946;1738.431949;487552.9393;15344078.42;0.031774664
G;Banco G&T;Bancos;433926.3783;284203.7737;0.204771695;58196.88837;34104.45285;24092.43552;465198.9358;15387386.73;0.030232485
H;Banco Promérica;Bancos;1331405.759;931364.8881;0.163148282;151950.5813;111763.7866;40186.79468;449104.5766;14740225.61;0.030467958
I;Banco de América Central;Bancos;2867140.139;2025761.259;0.132417948;268247.1493;243091.3511;25155.79825;464135.573;13645829.24;0.034012999
J;Banco Azteca El Salvador;Bancos;79746.76399;59863.98351;0.435239652;26055.17936;7183.678021;18871.50134;470419.87;15611726.52;0.030132469
K;Banco Industrial;Bancos;400081.7897;246263.2343;0.159473188;39272.38303;29551.58812;9720.794914;479570.5764;15425327.27;0.031089815
L;Atlántida;Bancos;769099.4737;540911.5489;0.129275687;69926.71195;64909.38587;5017.326077;484274.0452;15130678.95;0.032006101
M;Azul;Bancos;536845.9425;403393.1961;0.135394814;54617.34665;48407.18354;6210.163112;483081.2082;15268197.31;0.031639702
N;Multi inversiones;Bancos Cooperativos;295710.1022;240243.5795;0.169138751;40634.49907;28829.22954;11805.26954;477486.1018;15431346.92;0.030942607
O;Banco de los Trabajadores Salvadoreños;Bancos Cooperativos;581245.7543;53757.46938;0.319475793;17174.21016;6450.896325;10723.31383;478568.0575;15617833.03;0.030642411
P;Banco Izalqueño de los Trabajadores;Bancos Cooperativos;73246.77438;61473.37467;0.166883847;10258.91326;7376.80496;2882.1083;486409.263;15610117.13;0.031159873
Q;BANCOVI;Bancos Cooperativos;371938.1245;250177.9135;0.154291897;38600.42497;30021.34962;8579.075347;480712.2959;15421412.59;0.031171742
R;Primer Banco de los Trabajadores;Bancos Cooperativos;137043.9017;124337.5321;0.212716837;26448.68656;14920.50385;11528.18272;477763.1886;15547252.97;0.030729749
S;COMEDICA;Bancos Cooperativos;320776.6826;236982.817;0.21139395;50096.7338;28437.93804;21658.79577;467632.5755;15434607.68;0.030297665
T;Apoyo Integral;Sociedades de Ahorro y Crédito;183623.6864;161470.1505;0.158870245;25652.80231;19376.41805;6276.384255;483014.987;15510120.35;0.031141924
U;Credicomer;Sociedades de Ahorro y Crédito;125259.1932;106027.8474;0.201338816;21347.52125;12723.34169;8624.179564;480667.1917;15565562.65;0.030880168
V;Constelación;Sociedades de Ahorro y Crédito;42198.08194;36158.67526;0.203947697;7374.47856;4339.041031;3035.437529;486255.9338;15635431.83;0.031099617
W;Multivalores;Sociedades de Ahorro y Crédito;75491.85675;62405.05381;0.161946854;10106.30216;7488.606458;2617.695703;486673.6756;15609185.45;0.031178672
